Date,Open,High,Low,Close
12/12/2022,"1,605.20","1,621.85","1,621.85","1,621.85"
12/9/2022,"1,626.07","1,605.20","1,605.20","1,605.20"
12/8/2022,"1,611.67","1,626.07","1,626.07","1,626.07"
12/7/2022,"1,598.13","1,611.67","1,611.67","1,611.67"
12/6/2022,"1,610.11","1,598.13","1,598.13","1,598.13"
12/5/2022,"1,626.18","1,610.11","1,610.11","1,610.11"
12/2/2022,"1,622.56","1,626.18","1,626.18","1,626.18"
12/1/2022,"1,618.68","1,622.56","1,622.56","1,622.56"
11/30/2022,"1,579.99","1,618.68","1,618.68","1,618.68"
11/29/2022,"1,583.67","1,579.99","1,579.99","1,579.99"
11/28/2022,"1,595.63","1,583.67","1,583.67","1,583.67"
11/25/2022,"1,585.76","1,595.63","1,595.63","1,595.63"
11/23/2022,"1,580.32","1,585.76","1,585.76","1,585.76"
11/22/2022,"1,566.48","1,580.33","1,580.33","1,580.32"
11/21/2022,"1,565.77","1,566.48","1,566.48","1,566.48"
11/18/2022,"1,547.21","1,565.77","1,565.77","1,565.77"
11/17/2022,"1,547.86","1,547.21","1,547.21","1,547.21"
11/16/2022,"1,549.85","1,547.86","1,547.86","1,547.86"
11/15/2022,"1,550.93","1,549.85","1,549.85","1,549.85"
11/14/2022,"1,550.40","1,550.93","1,550.93","1,550.93"
11/11/2022,"1,570.50","1,550.40","1,550.40","1,550.40"
11/10/2022,"1,530.84","1,570.50","1,570.50","1,570.50"
11/9/2022,"1,547.15","1,530.84","1,530.84","1,530.84"
11/8/2022,"1,539.41","1,547.15","1,547.15","1,547.15"
11/7/2022,"1,523.29","1,539.41","1,539.41","1,539.41"
11/4/2022,"1,514.72","1,523.29","1,523.29","1,523.29"
11/3/2022,"1,521.37","1,514.72","1,514.72","1,514.72"
11/2/2022,"1,547.57","1,521.37","1,521.37","1,521.37"
11/1/2022,"1,546.64","1,547.57","1,547.57","1,547.57"
10/31/2022,"1,547.85","1,546.64","1,546.64","1,546.64"
10/28/2022,"1,522.18","1,547.85","1,547.85","1,547.85"
10/27/2022,"1,530.99","1,522.18","1,522.18","1,522.18"
10/26/2022,"1,514.03","1,530.99","1,530.99","1,530.99"
10/25/2022,"1,502.28","1,514.03","1,514.03","1,514.03"
10/24/2022,"1,474.11","1,502.28","1,502.28","1,502.28"
10/21/2022,"1,442.25","1,474.11","1,474.11","1,474.11"
10/20/2022,"1,454.08","1,442.25","1,442.25","1,442.25"
10/19/2022,"1,474.48","1,454.08","1,454.08","1,454.08"
10/18/2022,"1,466.18","1,474.48","1,474.48","1,474.48"
10/17/2022,"1,441.15","1,466.18","1,466.18","1,466.18"
10/14/2022,"1,453.26","1,441.15","1,441.15","1,441.15"
10/13/2022,"1,421.19","1,453.26","1,453.26","1,453.26"
10/12/2022,"1,428.76","1,421.19","1,421.19","1,421.19"
10/11/2022,"1,420.46","1,428.76","1,428.76","1,428.76"
10/10/2022,"1,429.72","1,420.46","1,420.46","1,420.46"
10/7/2022,"1,460.69","1,429.72","1,429.72","1,429.72"
10/6/2022,"1,479.94","1,460.69","1,460.69","1,460.69"
10/5/2022,"1,475.06","1,479.94","1,479.94","1,479.94"
10/4/2022,"1,441.49","1,475.06","1,475.06","1,475.06"
10/3/2022,"1,411.36","1,441.49","1,441.49","1,441.49"
9/30/2022,"1,431.45","1,411.36","1,411.36","1,411.36"
9/29/2022,"1,444.73","1,431.45","1,431.45","1,431.45"
9/28/2022,"1,413.68","1,444.73","1,444.73","1,444.73"
9/27/2022,"1,416.72","1,413.68","1,413.68","1,413.68"
9/26/2022,"1,431.15","1,416.72","1,416.72","1,416.72"
9/23/2022,"1,438.87","1,431.15","1,431.15","1,431.15"
9/22/2022,"1,431.50","1,438.87","1,438.87","1,438.87"
9/21/2022,"1,456.05","1,431.50","1,431.50","1,431.50"
9/20/2022,"1,472.85","1,456.05","1,456.05","1,456.05"
9/19/2022,"1,481.14","1,473.11","1,473.11","1,473.11"
9/16/2022,"1,485.16","1,481.14","1,481.14","1,481.14"
9/15/2022,"1,477.10","1,485.16","1,485.16","1,485.16"
9/14/2022,"1,477.00","1,477.10","1,477.10","1,477.10"
9/13/2022,"1,526.98","1,477.00","1,477.00","1,477.00"
9/12/2022,"1,517.20","1,526.98","1,526.98","1,526.98"
9/9/2022,"1,504.72","1,517.20","1,517.20","1,517.20"
9/8/2022,"1,478.50","1,504.72","1,504.72","1,504.72"
9/7/2022,"1,454.24","1,478.50","1,478.50","1,478.50"
9/6/2022,"1,453.94","1,454.24","1,454.24","1,454.24"
9/2/2022,"1,475.12","1,453.94","1,453.94","1,453.94"
9/1/2022,"1,451.16","1,475.12","1,475.12","1,475.12"
8/31/2022,"1,460.37","1,451.16","1,451.16","1,451.16"
8/30/2022,"1,470.07","1,460.37","1,460.37","1,460.37"
8/29/2022,"1,480.51","1,470.07","1,470.07","1,470.07"
8/26/2022,"1,523.11","1,480.51","1,480.51","1,480.51"
8/25/2022,"1,506.51","1,523.11","1,523.11","1,523.11"
8/24/2022,"1,504.74","1,506.51","1,506.51","1,506.51"
8/23/2022,"1,525.95","1,504.74","1,504.74","1,504.74"
8/22/2022,"1,547.34","1,525.95","1,525.95","1,525.95"
8/19/2022,"1,543.10","1,547.34","1,547.34","1,547.34"
8/18/2022,"1,549.82","1,543.10","1,543.10","1,543.10"
8/17/2022,"1,559.64","1,549.82","1,549.82","1,549.82"
8/16/2022,"1,563.79","1,559.64","1,559.64","1,559.64"
8/15/2022,"1,556.18","1,563.79","1,563.79","1,563.79"
8/12/2022,"1,536.03","1,556.18","1,556.18","1,556.18"
8/11/2022,"1,547.08","1,536.03","1,536.03","1,536.03"
8/10/2022,"1,529.96","1,547.08","1,547.08","1,547.08"
8/9/2022,"1,534.48","1,529.96","1,529.96","1,529.96"
8/8/2022,"1,531.03","1,534.48","1,534.48","1,534.48"
8/5/2022,"1,531.48","1,531.03","1,531.03","1,531.03"
8/4/2022,"1,539.08","1,531.48","1,531.48","1,531.48"
8/3/2022,"1,524.99","1,539.08","1,539.08","1,539.08"
8/2/2022,"1,530.65","1,524.99","1,524.99","1,524.99"
8/1/2022,"1,541.88","1,530.65","1,530.65","1,530.65"
7/29/2022,"1,547.32","1,541.88","1,541.88","1,541.88"
7/28/2022,"1,538.91","1,547.32","1,547.32","1,547.32"
7/27/2022,"1,529.01","1,538.91","1,538.91","1,538.91"
7/26/2022,"1,520.65","1,529.01","1,529.01","1,529.01"
7/25/2022,"1,512.34","1,520.65","1,520.65","1,520.65"
7/22/2022,"1,518.19","1,512.34","1,512.34","1,512.34"
7/21/2022,"1,495.67","1,518.19","1,518.19","1,518.19"
7/20/2022,"1,511.68","1,495.67","1,495.67","1,495.67"
7/19/2022,"1,484.89","1,511.68","1,511.68","1,511.68"
7/18/2022,"1,517.51","1,484.89","1,484.89","1,484.89"
7/15/2022,"1,481.27","1,517.51","1,517.51","1,517.51"
7/14/2022,"1,486.75","1,481.27","1,481.27","1,481.27"
7/13/2022,"1,500.82","1,486.75","1,486.75","1,486.75"
7/12/2022,"1,521.01","1,500.82","1,500.82","1,500.82"
7/11/2022,"1,524.54","1,521.01","1,521.01","1,521.01"
7/8/2022,"1,520.49","1,524.54","1,524.54","1,524.54"
7/7/2022,"1,513.46","1,520.49","1,520.49","1,520.49"
7/6/2022,"1,503.56","1,513.46","1,513.46","1,513.46"
7/5/2022,"1,512.47","1,503.57","1,503.57","1,503.56"
7/1/2022,"1,494.31","1,512.47","1,512.47","1,512.47"
6/30/2022,"1,499.32","1,494.31","1,494.31","1,494.31"
6/29/2022,"1,486.34","1,499.32","1,499.32","1,499.32"
6/28/2022,"1,512.60","1,486.34","1,486.34","1,486.34"
6/27/2022,"1,506.72","1,512.60","1,512.60","1,512.60"
6/24/2022,"1,482.55","1,506.72","1,506.72","1,506.72"
6/23/2022,"1,450.41","1,482.55","1,482.55","1,482.55"
6/22/2022,"1,430.06","1,450.41","1,450.41","1,450.41"
6/21/2022,"1,393.22","1,430.06","1,430.06","1,430.06"
6/17/2022,"1,392.94","1,393.22","1,393.22","1,393.22"
6/16/2022,"1,414.45","1,392.94","1,392.94","1,392.94"
