,year_month,Materials,Utilities,Real Estate,Financials,Information Technology,Healthcare,Consumer Discretionary,Energy,Industrials,Communication Services,Consumer Staples
0,2018-06,1.1779857285422723,1.3069529592012734,1.05705102983969,1.3220603595337228,1.8000076542760757,0.9937529110823836,1.2412660041716714,1.7154450802647387,1.0344742808450615,1.718983060628992,0.9164662472032676
1,2018-07,1.0721002636037202,1.244637922821498,1.1089082003738544,1.1330039005319232,1.4635363207413232,0.7729361174968972,0.968629743285575,1.4744466907101408,1.1696068871514338,1.4030648458752304,0.9038647741859308
2,2018-08,1.1093477214629437,1.040202690391283,0.8967807596770772,0.8085568091067508,1.6152010771807543,0.6176198754618383,0.7883652493386349,1.2878708183964171,0.8499124456391042,1.0736673368471814,0.8105030881986083
3,2018-09,1.0100057246559184,1.1779917274127714,1.0240712082602677,0.9254490596522948,1.8352144965983168,0.7127475036493877,0.9040023579632548,1.256175159825598,0.802598301803459,1.3557677901781302,0.8678541176785226
4,2018-10,1.9167768964466263,1.6779896127524274,1.7065524226661315,1.9580052894277828,2.5779627046754383,1.8082051150167584,2.291125261970956,2.211362616274272,1.9530391732416792,2.5265568645309107,1.4326466974155927
5,2018-11,1.7198554472260823,1.336394926842798,1.198653962352834,1.6118230364593504,2.546063644466805,1.4794649400319575,1.9034368219722375,2.419408949332565,1.615110206274967,1.845542038136796,1.1482142385323162
6,2018-12,2.7963323200289105,2.180719773439745,2.315489293299472,2.800001070430088,3.1184248895214903,2.513070841945873,3.017682882872942,3.45330991086426,2.833590766568491,2.8659194498670133,2.1157446505574424
7,2019-01,1.706023826213144,1.4871449511682502,1.3392707012192024,1.495407531066964,1.7647436465715167,1.3761516050738205,1.6134585033378954,2.070702209844553,1.7072882857946834,1.848992983544055,1.2063955200412533
8,2019-02,1.108081820550791,1.0538925357186746,1.1495603713948597,0.9697205207106468,2.2621688584390176,0.8477395316596464,0.9000145241278575,1.567145312865919,0.9040836096513724,1.1247995707453258,0.7631519469447288
9,2019-03,1.2427522997040108,1.0069375014017414,1.0285964542977566,1.3168977593727191,1.6561429471380922,1.1604636326489557,1.0959299049382445,1.5820900897181185,1.2341951607272892,1.1857188678842858,0.8805100527625862
10,2019-04,1.222966448710305,1.038915084244832,1.2742877363222511,1.0198493288858732,1.4211178190930789,1.3088384904587325,0.660604501981532,1.3240978340662437,0.8609302950865269,0.8252737684999906,0.6715746065521007
11,2019-05,1.2999704692344691,1.1889110210049487,1.1903929509156594,1.270142511555593,1.7510291743624344,1.3147645612664738,1.2490265493729864,1.71267199115809,1.256621551784764,1.5196715899089184,1.0117066171171805
12,2019-06,1.0856386697824194,1.3445651407650296,1.1281434064623397,1.0871414945196245,1.4841548875323451,0.9215142736653092,0.9927213522251852,1.4466847330028014,1.0099323818253498,1.3006605885344322,0.8307865724759964
13,2019-07,1.0226095197987428,1.137969550169453,1.1767233273938855,0.9061634029517868,1.8247605380113507,0.9133863452811074,0.8524702419503924,1.3003723581658404,1.0323376682048409,1.2985118835928713,0.8681626648388613
14,2019-08,1.5773509185236738,1.3510242393934524,1.407283708661514,1.624125785808156,2.3256639978982285,1.4635595168806192,1.485273125452398,2.0621939804576788,1.5925540116590655,1.633191821889877,1.4459356993838843
15,2019-09,1.0832583912378124,0.9571285198389844,1.0947549705958577,1.109324946732826,1.6589090144685783,1.026862612665011,1.0320954554940214,1.7374193184221915,1.0046232940598758,1.1940253096784916,0.8098186773521252
16,2019-10,1.284677662490697,0.9514054484913942,0.9686583445145484,1.1182384852203886,1.6915020566288648,1.1238002951328114,0.934642377098676,1.8127850833729275,1.1712085435148836,1.2274682669364632,0.8699132059380454
17,2019-11,0.7577095214665981,0.927667841767018,1.044826441500596,0.6379057276017225,1.3768031013464532,0.8292757670273504,0.6834402754518097,1.560872321489183,0.7036586198240505,0.7551871096348568,0.7315759309782643
18,2019-12,0.8028237087614982,0.804683995208148,1.0521704507250835,0.7340514037144609,1.3669353699211209,0.6933152175274978,0.6353736722963197,1.2098517183036857,0.7150833988161746,0.8253441605183687,0.6068620091435152
19,2020-01,1.0559257139257832,0.917521165735107,1.0314877386437438,0.969051357444861,1.6818118167758531,0.9198834807225518,0.945276389257936,1.6242262142484876,1.0395447941024147,1.1576783021762858,0.7961683864919442
20,2020-02,1.6051728015847333,1.353304392168185,1.5284003043247278,1.4320863636206205,2.52429268867603,1.4859558436806264,1.5524756708225034,2.678234432198576,1.525271263524826,1.842092052801211,1.272439433849039
21,2020-03,5.519904545269328,6.873539406286966,6.535980432397941,6.512373955842133,9.284096706531887,4.942131889674126,5.2583520581491525,10.371422355639824,6.01857882511128,6.272078619114746,4.988604008284403
22,2020-04,2.733061374383918,3.3927218715878293,3.0930017980295177,3.2264443077662,4.082901513571768,2.2569867842536877,2.459431250825981,6.618101783112135,2.5420326800980955,2.9343346780489608,2.161543188126495
23,2020-05,1.9367457345303412,2.0801220423935964,2.107480256430957,2.601573964224566,3.862357061633572,1.6780229530284303,1.8600529350095587,4.299173973394909,2.10670527261087,2.0474633634503907,1.3792465575845805
24,2020-06,2.2187511299531906,2.4682918581105118,2.333974887139546,2.910249264194191,3.575384464881188,1.875813553477128,1.968397821259129,4.570462935775479,2.4316074526741605,2.1626279201414005,1.5804586702742276
25,2020-07,1.6023056802986242,1.912384606855681,1.7559363279868236,1.8526900792516887,2.205517306727592,1.3519364719163762,2.088355079444057,3.312049654486361,1.5511326302999626,1.844251486973877,1.2300662843330523
