,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 26, 2023",207.37,211.14,206.53,210.92,210.92,"307,898,400"
1,"May 25, 2023",206.48,209.82,206.39,207.37,207.37,"399,977,700"
2,"May 24, 2023",207.14,207.45,205.2,206.48,206.48,"253,331,100"
3,"May 23, 2023",210.85,210.9,207.73,207.73,207.73,"272,091,700"
4,"May 22, 2023",208.37,212.5,208.37,210.85,210.85,"263,667,000"
5,"May 19, 2023",209.44,211.69,207.61,208.41,208.41,"270,577,000"
6,"May 18, 2023",205.76,209.72,205.76,209.44,209.44,"296,537,700"
7,"May 17, 2023",203.36,206.72,203.08,205.76,205.76,"240,546,600"
8,"May 16, 2023",202.16,204.4,201.37,203.36,203.36,"259,693,800"
9,"May 15, 2023",202.22,203.36,201.6,202.16,202.16,"253,137,200"
10,"May 12, 2023",201.84,202.71,201.0,202.22,202.22,"261,151,000"
11,"May 11, 2023",200.05,203.18,199.39,201.84,201.84,"369,363,900"
12,"May 10, 2023",195.26,199.39,194.78,198.56,198.56,"315,425,700"
13,"May 09, 2023",196.28,197.6,195.07,195.26,195.26,"248,367,100"
14,"May 08, 2023",193.81,196.63,193.44,196.28,196.28,"221,504,800"
15,"May 05, 2023",191.9,194.24,191.17,193.81,193.81,"294,053,800"
16,"May 04, 2023",194.34,194.34,191.65,191.9,191.9,"301,304,200"
17,"May 03, 2023",194.67,197.26,194.12,194.34,194.34,"234,571,000"
18,"May 02, 2023",198.2,198.2,193.29,194.67,194.67,"243,498,200"
19,"May 01, 2023",198.35,199.13,196.98,198.2,198.2,"225,739,000"
20,"Apr 28, 2023",197.28,198.37,195.46,198.35,198.35,"280,041,100"
21,"Apr 27, 2023",186.95,198.03,186.95,197.28,197.28,"357,683,200"
22,"Apr 26, 2023",188.12,190.37,186.69,186.95,186.95,"336,059,700"
23,"Apr 25, 2023",191.14,191.14,188.1,188.12,188.12,"272,478,600"
24,"Apr 24, 2023",191.16,192.32,190.05,191.14,191.14,"240,712,300"
25,"Apr 21, 2023",190.55,191.44,189.63,191.16,191.16,"266,203,700"
26,"Apr 20, 2023",192.02,192.36,189.83,190.55,190.55,"325,266,100"
27,"Apr 19, 2023",193.42,193.42,190.87,192.02,192.02,"214,392,900"
28,"Apr 18, 2023",194.68,195.66,193.13,193.42,193.42,"200,439,700"
29,"Apr 17, 2023",197.18,197.18,193.2,194.68,194.68,"205,357,100"
30,"Apr 14, 2023",196.57,197.25,195.02,197.18,197.18,"193,299,700"
31,"Apr 13, 2023",192.09,196.61,192.09,196.57,196.57,"223,692,900"
32,"Apr 12, 2023",193.82,195.78,191.89,192.09,192.09,"217,486,700"
33,"Apr 11, 2023",194.65,195.52,193.6,193.82,193.82,"195,749,200"
34,"Apr 10, 2023",196.0,196.0,192.67,194.65,194.65,"180,904,700"
35,"Apr 06, 2023",192.71,196.69,191.28,196.0,196.0,"266,772,200"
36,"Apr 05, 2023",193.13,194.06,191.45,192.71,192.71,"231,570,000"
37,"Apr 04, 2023",192.54,193.86,191.91,193.13,193.13,"226,819,200"
38,"Apr 03, 2023",191.53,192.69,189.67,192.54,192.54,"215,389,700"
39,"Mar 31, 2023",187.63,191.67,187.63,191.53,191.53,"236,665,800"
40,"Mar 30, 2023",187.03,187.82,186.43,187.63,187.63,"202,529,000"
41,"Mar 29, 2023",184.84,187.22,184.84,187.03,187.03,"194,670,200"
42,"Mar 28, 2023",186.74,186.74,183.74,184.84,184.84,"199,783,600"
43,"Mar 27, 2023",188.77,188.99,185.96,186.74,186.74,"207,011,200"
44,"Mar 24, 2023",188.27,188.96,186.53,188.77,188.77,"260,744,800"
45,"Mar 23, 2023",184.88,189.85,184.88,188.27,188.27,"254,018,800"
46,"Mar 22, 2023",187.93,190.4,184.85,184.88,184.88,"232,919,600"
47,"Mar 21, 2023",183.44,188.25,183.44,187.93,187.93,"248,403,300"
48,"Mar 20, 2023",182.56,184.05,181.49,183.44,183.44,"226,368,900"
49,"Mar 17, 2023",183.43,184.79,181.54,182.56,182.56,"797,624,500"
50,"Mar 16, 2023",178.48,183.66,177.6,183.43,183.43,"386,277,100"
51,"Mar 15, 2023",175.84,179.03,173.6,178.48,178.48,"339,593,200"
52,"Mar 14, 2023",171.13,176.09,171.13,175.84,175.84,"316,167,800"
53,"Mar 13, 2023",170.71,173.38,168.18,171.13,171.13,"336,735,300"
54,"Mar 10, 2023",173.18,173.82,170.01,170.71,170.71,"310,330,400"
55,"Mar 09, 2023",177.12,178.73,172.56,173.18,173.18,"271,935,000"
56,"Mar 08, 2023",176.78,178.34,176.19,177.12,177.12,"244,775,000"
57,"Mar 07, 2023",178.83,179.98,176.32,176.78,176.78,"263,132,700"
58,"Mar 06, 2023",178.02,181.04,178.02,178.83,178.83,"274,854,300"
59,"Mar 03, 2023",174.36,178.2,174.36,178.02,178.02,"273,233,700"
60,"Mar 02, 2023",172.47,174.77,171.4,174.36,174.36,"242,783,800"
61,"Mar 01, 2023",173.53,174.22,172.19,172.47,172.47,"251,748,100"
62,"Feb 28, 2023",173.11,174.83,172.89,173.53,173.53,"374,967,700"
63,"Feb 27, 2023",172.39,174.47,172.39,173.11,173.11,"247,930,500"
64,"Feb 24, 2023",174.89,174.89,171.2,172.39,172.39,"275,868,900"
65,"Feb 23, 2023",176.05,176.22,172.91,174.89,174.89,"280,264,300"
66,"Feb 22, 2023",176.14,176.97,175.12,176.05,176.05,"249,574,700"
67,"Feb 21, 2023",180.01,180.01,176.07,176.14,176.14,"280,716,200"
68,"Feb 17, 2023",181.12,181.12,178.28,180.27,180.27,"254,130,300"
69,"Feb 16, 2023",183.97,183.97,180.3,181.12,181.12,"299,203,000"
70,"Feb 15, 2023",181.85,183.99,180.55,183.97,183.97,"284,716,600"
71,"Feb 14, 2023",181.84,182.19,178.9,181.85,181.85,"275,411,300"
72,"Feb 13, 2023",179.86,182.31,179.86,181.84,181.84,"292,663,700"
73,"Feb 10, 2023",181.47,182.4,179.46,179.86,179.86,"319,156,400"
74,"Feb 09, 2023",186.69,188.95,180.59,181.47,181.47,"510,735,600"
75,"Feb 08, 2023",194.74,194.74,185.06,186.69,186.69,"519,488,000"
76,"Feb 07, 2023",190.03,195.55,189.54,194.74,194.74,"341,835,600"
77,"Feb 06, 2023",192.55,192.55,188.76,190.03,190.03,"286,468,400"
78,"Feb 03, 2023",196.92,197.01,191.45,192.55,192.55,"386,161,000"
79,"Feb 02, 2023",184.49,197.84,184.49,196.92,196.92,"492,394,400"
80,"Feb 01, 2023",182.04,185.61,179.93,184.49,184.49,"335,040,200"
81,"Jan 31, 2023",179.58,182.07,179.58,182.04,182.04,"295,867,400"
82,"Jan 30, 2023",182.9,182.9,179.34,179.61,179.61,"256,123,200"
83,"Jan 27, 2023",181.3,184.03,180.97,182.9,182.9,"277,831,300"
84,"Jan 26, 2023",178.35,181.33,178.31,181.3,181.3,"291,110,100"
85,"Jan 25, 2023",178.99,178.99,175.86,178.35,178.35,"359,801,400"
86,"Jan 24, 2023",180.24,181.69,178.47,178.99,178.99,"254,493,200"
87,"Jan 23, 2023",177.09,180.75,176.53,180.24,180.24,"308,397,000"
88,"Jan 20, 2023",170.34,177.17,170.34,177.09,177.09,"364,095,700"
89,"Jan 19, 2023",168.82,171.34,167.71,170.34,170.34,"299,881,300"
90,"Jan 18, 2023",170.4,171.87,168.22,168.82,168.82,"251,063,800"
91,"Jan 17, 2023",171.98,171.98,169.29,170.4,170.4,"271,635,000"
92,"Jan 13, 2023",171.05,172.22,169.72,171.98,171.98,"218,550,200"
93,"Jan 12, 2023",169.64,171.68,167.93,171.05,171.05,"276,169,400"
94,"Jan 11, 2023",167.4,169.68,167.32,169.64,169.64,"257,173,700"
95,"Jan 10, 2023",165.27,167.43,163.38,167.4,167.4,"283,150,000"
96,"Jan 09, 2023",165.26,167.76,165.16,165.27,165.27,"289,730,300"
97,"Jan 06, 2023",162.46,165.72,161.49,165.26,165.26,"290,888,000"
98,"Jan 05, 2023",163.36,163.74,161.45,162.46,162.46,"277,403,000"
99,"Jan 04, 2023",161.59,164.42,161.27,163.36,163.36,"316,713,100"
100,"Jan 03, 2023",159.37,163.17,159.37,161.59,161.59,"292,688,500"
101,"Dec 30, 2022",159.41,159.45,156.77,159.37,159.37,"255,559,300"
102,"Dec 29, 2022",155.24,160.01,155.24,159.41,159.41,"223,204,300"
103,"Dec 28, 2022",157.62,158.49,155.18,155.24,155.24,"211,362,200"
104,"Dec 27, 2022",159.5,159.5,156.75,157.62,157.62,"216,638,800"
105,"Dec 23, 2022",157.8,159.63,156.98,159.5,159.5,"195,104,100"
106,"Dec 22, 2022",159.64,159.64,155.05,157.8,157.8,"278,931,000"
107,"Dec 21, 2022",157.77,160.5,157.48,159.64,159.64,"261,024,700"
108,"Dec 20, 2022",156.64,157.95,155.27,157.77,157.77,"295,601,200"
109,"Dec 19, 2022",160.14,160.14,156.24,156.64,156.64,"328,030,500"
110,"Dec 16, 2022",160.31,161.55,159.04,160.14,160.14,"790,694,200"
111,"Dec 15, 2022",166.72,166.72,159.35,160.31,160.31,"375,022,200"
112,"Dec 14, 2022",168.16,169.47,164.79,166.72,166.72,"323,567,800"
113,"Dec 13, 2022",165.35,173.48,165.35,168.16,168.16,"400,346,500"
114,"Dec 12, 2022",164.19,165.36,162.86,165.35,165.35,"303,955,600"
115,"Dec 09, 2022",164.16,166.19,163.51,164.19,164.19,"263,351,000"
116,"Dec 08, 2022",164.99,166.15,163.76,164.16,164.16,"290,579,600"
117,"Dec 07, 2022",166.54,166.8,164.54,164.99,164.99,"287,637,000"
118,"Dec 06, 2022",171.0,171.0,165.78,166.54,166.54,"316,796,300"
119,"Dec 05, 2022",173.55,174.16,170.37,170.94,170.94,"278,768,000"
120,"Dec 02, 2022",173.45,174.0,170.66,173.55,173.55,"262,816,800"
121,"Dec 01, 2022",172.94,174.97,172.36,173.45,173.45,"291,342,700"
122,"Nov 30, 2022",164.84,172.94,164.24,172.94,172.94,"448,249,800"
123,"Nov 29, 2022",165.43,165.73,163.32,164.84,164.84,"227,520,700"
124,"Nov 28, 2022",167.99,167.99,164.94,165.39,165.39,"245,134,100"
125,"Nov 25, 2022",169.18,169.34,167.99,167.99,167.99,"115,394,200"
126,"Nov 23, 2022",167.11,169.61,167.11,169.18,169.18,"197,938,900"
127,"Nov 22, 2022",164.96,167.28,163.61,167.15,167.15,"252,491,800"
128,"Nov 21, 2022",166.31,168.23,164.69,164.96,164.96,"293,012,800"
129,"Nov 18, 2022",166.9,168.17,165.28,166.31,166.31,"265,169,000"
130,"Nov 17, 2022",168.01,168.06,164.35,166.9,166.9,"268,253,200"
131,"Nov 16, 2022",168.96,169.07,167.24,168.01,168.01,"274,161,400"
132,"Nov 15, 2022",166.01,171.11,166.01,168.96,168.96,"391,030,800"
133,"Nov 14, 2022",166.45,168.24,164.82,166.01,166.01,"330,366,900"
134,"Nov 11, 2022",162.43,167.09,162.43,166.45,166.45,"403,205,700"
135,"Nov 10, 2022",152.77,162.63,152.77,162.43,162.43,"450,163,700"
136,"Nov 09, 2022",155.73,155.73,152.68,152.77,152.77,"445,476,000"
137,"Nov 08, 2022",155.16,157.56,153.62,155.73,155.73,"366,631,800"
138,"Nov 07, 2022",152.38,155.38,152.38,155.16,155.16,"387,245,600"
139,"Nov 04, 2022",149.74,152.85,149.17,152.38,152.38,"426,688,200"
140,"Nov 03, 2022",154.1,154.1,149.67,149.74,149.74,"436,122,400"
141,"Nov 02, 2022",158.93,160.22,154.03,154.1,154.1,"446,549,500"
142,"Nov 01, 2022",161.86,164.49,158.87,158.93,158.93,"405,094,300"
143,"Oct 31, 2022",164.62,164.62,161.04,161.86,161.86,"399,714,200"
144,"Oct 28, 2022",159.85,164.82,159.85,164.62,164.62,"405,187,300"
145,"Oct 27, 2022",166.72,166.72,159.64,159.85,159.85,"702,008,000"
146,"Oct 26, 2022",175.04,175.04,166.57,166.72,166.72,"470,653,800"
147,"Oct 25, 2022",170.98,175.42,170.98,175.04,175.04,"354,765,800"
148,"Oct 24, 2022",169.45,171.54,167.99,170.98,170.98,"372,103,300"
149,"Oct 21, 2022",168.02,169.56,164.67,169.45,169.45,"447,386,100"
150,"Oct 20, 2022",167.42,171.51,167.4,168.02,168.02,"386,663,400"
151,"Oct 19, 2022",167.62,169.94,166.62,167.42,167.42,"332,269,500"
152,"Oct 18, 2022",166.73,171.11,166.38,167.62,167.62,"313,587,200"
153,"Oct 17, 2022",161.34,167.9,161.34,166.73,166.73,"332,558,400"
154,"Oct 14, 2022",164.53,166.73,161.18,161.34,161.34,"288,074,100"
155,"Oct 13, 2022",160.95,165.38,156.78,164.53,164.53,"385,558,000"
156,"Oct 12, 2022",160.95,162.28,160.12,160.95,160.95,"294,491,500"
157,"Oct 11, 2022",163.63,164.01,159.97,160.95,160.95,"324,570,200"
158,"Oct 10, 2022",164.39,165.1,162.18,163.63,163.63,"253,025,500"
159,"Oct 07, 2022",168.85,168.85,163.78,164.39,164.39,"330,366,800"
160,"Oct 06, 2022",170.31,171.7,168.78,169.2,169.2,"370,173,100"
161,"Oct 05, 2022",171.37,171.37,166.59,170.31,170.31,"325,377,200"
162,"Oct 04, 2022",166.83,171.42,166.83,171.37,171.37,"348,299,100"
163,"Oct 03, 2022",162.01,167.81,162.01,166.83,166.83,"311,187,900"
164,"Sep 30, 2022",164.75,166.88,161.94,162.01,162.01,"361,529,000"
165,"Sep 29, 2022",168.91,168.91,162.9,164.75,164.75,"318,041,200"
166,"Sep 28, 2022",163.71,169.72,163.71,168.91,168.91,"304,402,500"
167,"Sep 27, 2022",164.89,167.69,162.85,163.71,163.71,"300,821,500"
168,"Sep 26, 2022",167.03,168.16,164.54,164.89,164.89,"321,186,800"
169,"Sep 23, 2022",170.09,170.09,165.05,167.08,167.08,"314,016,900"
170,"Sep 22, 2022",169.99,171.66,169.25,170.09,170.09,"293,181,500"
171,"Sep 21, 2022",173.98,175.82,169.98,169.99,169.99,"312,836,800"
172,"Sep 20, 2022",176.82,176.82,173.23,173.98,173.98,"268,046,400"
173,"Sep 19, 2022",176.05,176.9,174.28,176.82,176.82,"249,140,500"
174,"Sep 16, 2022",177.1,177.1,174.35,176.05,176.05,"556,763,900"
175,"Sep 15, 2022",178.99,180.48,176.42,177.1,177.1,"317,899,500"
176,"Sep 14, 2022",178.33,179.45,176.64,178.99,178.99,"309,328,300"
177,"Sep 13, 2022",188.98,188.98,177.88,178.33,178.33,"345,097,300"
178,"Sep 12, 2022",188.14,189.97,187.47,188.98,188.98,"238,191,100"
179,"Sep 09, 2022",183.5,188.41,183.5,188.14,188.14,"272,862,400"
180,"Sep 08, 2022",184.31,184.71,181.35,183.5,183.5,"287,087,600"
181,"Sep 07, 2022",180.61,184.83,180.61,184.31,184.31,"276,253,300"
182,"Sep 06, 2022",182.92,183.06,179.55,180.61,180.61,"294,182,700"
183,"Sep 02, 2022",186.38,187.69,182.14,182.92,182.92,"237,509,300"
184,"Sep 01, 2022",184.44,186.57,183.05,186.38,186.38,"255,920,300"
185,"Aug 31, 2022",184.43,188.2,184.41,184.44,184.44,"316,123,800"
186,"Aug 30, 2022",185.9,187.38,183.21,184.43,184.43,"236,139,100"
187,"Aug 29, 2022",187.37,187.89,185.61,185.9,185.9,"207,347,400"
188,"Aug 26, 2022",194.9,194.9,187.36,187.37,187.37,"278,359,000"
189,"Aug 25, 2022",190.96,194.93,190.96,194.9,194.9,"188,275,800"
190,"Aug 24, 2022",190.24,192.4,189.47,190.96,190.96,"219,351,500"
191,"Aug 23, 2022",191.6,192.53,190.01,190.24,190.24,"208,076,600"
192,"Aug 22, 2022",196.85,196.85,191.17,191.6,191.6,"244,494,200"
193,"Aug 19, 2022",200.51,200.51,196.09,196.85,196.85,"225,401,300"
194,"Aug 18, 2022",200.59,201.38,198.59,200.51,200.51,"223,647,500"
195,"Aug 17, 2022",204.37,204.37,200.32,200.59,200.59,"202,365,800"
196,"Aug 16, 2022",204.5,205.61,202.52,204.37,204.37,"234,376,200"
197,"Aug 15, 2022",203.52,204.83,202.31,204.5,204.5,"235,468,800"
198,"Aug 12, 2022",199.5,203.52,199.5,203.52,203.52,"210,412,100"
199,"Aug 11, 2022",199.48,203.7,199.2,199.5,199.5,"274,647,100"
200,"Aug 10, 2022",194.11,200.56,194.11,199.48,199.48,"290,847,700"
201,"Aug 09, 2022",195.51,195.51,193.08,194.11,194.11,"239,736,800"
202,"Aug 08, 2022",194.79,199.48,194.79,195.51,195.51,"268,619,600"
203,"Aug 05, 2022",196.51,196.51,193.03,194.79,194.79,"284,438,000"
204,"Aug 04, 2022",196.15,197.46,194.82,196.51,196.51,"252,560,800"
205,"Aug 03, 2022",191.4,196.78,191.4,196.15,196.15,"290,083,800"
206,"Aug 02, 2022",191.74,193.47,190.12,191.4,191.4,"239,676,500"
